Column,Category,Frequency,Category_Sorted
OperAdi,SET KARTI TAKMA,7,SET KARTI TAKMA
OperAdi,TÜL BIRLESTIRME,12,TÜL BIRLESTIRME
OperAdi,TÜL BÜZGÜ,11,TÜL BÜZGÜ
OperAdi,TÜL UCU EMNIYET,5,TÜL UCU EMNIYET
OperAdi,TÜL YAN ÇATMA,3,TÜL YAN ÇATMA
OperAdi,TÜNEL BEL  EMNIYET,18,TÜNEL BEL  EMNIYET
OperAdi,YAKA BEDENE TUTTURMA,13,YAKA BEDENE TUTTURMA
OperAdi,YAKA KANAL REÇME,15,YAKA KANAL REÇME
OperAdi,YAKA KISTIRMA,12,YAKA KISTIRMA
OperAdi,YAKA ORTASI EMNIYET,8,YAKA ORTASI EMNIYET
OperAdi,YAKA REGÜLE,2,YAKA REGÜLE
OperAdi,YAKA UCU KAPATMA,9,YAKA UCU KAPATMA
OperAdi,YAN TUTTURMA,14,YAN TUTTURMA
OperAdi,YAN YIRTMAÇ GAZI,19,YAN YIRTMAÇ GAZI
OperAdi,YIRTMAÇ ÜSTÜ EMNIYET,11,YIRTMAÇ ÜSTÜ EMNIYET
OperAdi,ÖN  GAZI KAPAMA,7,ÖN  GAZI KAPAMA
OperAdi,ÖN ALT BÜZGÜ,10,ÖN ALT BÜZGÜ
OperAdi,ÖN ALT ÜST BIRLSTR 2,10,ÖN ALT ÜST BIRLSTR 2
OperAdi,ÖN ALT ÜST TUTTURMA,4,ÖN ALT ÜST TUTTURMA
OperAdi,ÖN ASKILIK TAKMA,12,ÖN ASKILIK TAKMA
OperAdi,ÖN ASTAR HAZIRLIK,15,ÖN ASTAR HAZIRLIK
OperAdi,ÖN BIRLESTIRME,9,ÖN BIRLESTIRME
OperAdi,ÖN BIYE BASMA,3,ÖN BIYE BASMA
OperAdi,ÖN BIYE TAKMA,3,ÖN BIYE TAKMA
OperAdi,ÖN ETEK UCU REGÜLE,8,ÖN ETEK UCU REGÜLE
OperAdi,ÖN KOL EVI BÜZGÜ,9,ÖN KOL EVI BÜZGÜ
OperAdi,ÖN KOL EVI ÇIMA,18,ÖN KOL EVI ÇIMA
OperAdi,ÖN KORDON ZIGZAG,3,ÖN KORDON ZIGZAG
OperAdi,ÖN ORTA ALT PRÇA TKM,5,ÖN ORTA ALT PRÇA TKM
OperAdi,ÖN ORTA PARÇA TAKMA,1,ÖN ORTA PARÇA TAKMA
OperAdi,ÖN ORTA ÜST PRÇA TKM,8,ÖN ORTA ÜST PRÇA TKM
OperAdi,ÖN PARÇA ASTR BIRLES,1,ÖN PARÇA ASTR BIRLES
OperAdi,ÖN PARÇA TAKMA,6,ÖN PARÇA TAKMA
OperAdi,ÖN PAT KAPAMA,17,ÖN PAT KAPAMA
OperAdi,ÖN SLIKON BIRLESTIRM,4,ÖN SLIKON BIRLESTIRM
OperAdi,ÖN TUTTURMA,7,ÖN TUTTURMA
OperAdi,ÖN YAKA BASMA,16,ÖN YAKA BASMA
OperAdi,ÖN YAKA BÜZGÜ,11,ÖN YAKA BÜZGÜ
OperAdi,ÖN YAKA HAZIRLIK,8,ÖN YAKA HAZIRLIK
OperAdi,ÖN ÜST BÜZGÜ,7,ÖN ÜST BÜZGÜ
OperAdi,ÖN/ARKA KOL BIYE TAK,11,ÖN/ARKA KOL BIYE TAK
OperAdi,ÜRÜN ESLEME,1,ÜRÜN ESLEME
OperAdi,ÜRÜN POSETLEME,1,ÜRÜN POSETLEME
OperAdi,ÜST PAT SÜS DIKISI,2,ÜST PAT SÜS DIKISI
OperAdi,ÜST PILE KAPAMA,4,ÜST PILE KAPAMA
PersonelNo,10,11,10.0
PersonelNo,47,3,47.0
PersonelNo,102,1,102.0
PersonelNo,116,1,116.0
PersonelNo,183,9,183.0
PersonelNo,286,16,286.0
PersonelNo,288,17,288.0
PersonelNo,293,19,293.0
PersonelNo,308,19,308.0
PersonelNo,311,11,311.0
PersonelNo,314,3,314.0
PersonelNo,342,2,342.0
PersonelNo,345,1,345.0
PersonelNo,357,1,357.0
PersonelNo,392,1,392.0
PersonelNo,404,6,404.0
PersonelNo,407,2,407.0
PersonelNo,416,1,416.0
PersonelNo,423,4,423.0
PersonelNo,434,10,434.0
PersonelNo,454,9,454.0
PersonelNo,455,18,455.0
PersonelNo,470,15,470.0
PersonelNo,475,1,475.0
PersonelNo,492,16,492.0
PersonelNo,496,1,496.0
PersonelNo,497,12,497.0
PersonelNo,505,16,505.0
PersonelNo,512,2,512.0
PersonelNo,514,18,514.0
PersonelNo,517,4,517.0
PersonelNo,520,1,520.0
PersonelNo,525,5,525.0
PersonelNo,527,1,527.0
PersonelNo,529,2,529.0
PersonelNo,538,8,538.0
PersonelNo,541,3,541.0
PersonelNo,545,4,545.0
PersonelNo,546,2,546.0
PersonelNo,549,1,549.0
PersonelNo,551,9,551.0
PersonelNo,552,8,552.0
PersonelNo,554,3,554.0
PersonelNo,558,8,558.0
PersonelNo,561,1,561.0
PersonelNo,562,1,562.0
PersonelNo,563,7,563.0
PersonelNo,564,7,564.0
PersonelNo,565,4,565.0
PersonelNo,566,3,566.0
PersonelNo,568,1,568.0
PersonelNo,574,2,574.0
PersonelNo,575,1,575.0
PersonelNo,576,2,576.0
PersonelNo,577,6,577.0
PersonelNo,578,3,578.0
PersonelNo,581,2,581.0
PersonelNo,585,1,585.0
PersonelNo,586,3,586.0
PersonelNo,589,1,589.0
PersonelNo,592,2,592.0
PersonelNo,593,4,593.0
PersonelNo,596,18,596.0
PersonelNo,598,11,598.0
PersonelNo,600,5,600.0
PersonelNo,606,4,606.0
PersonelNo,610,14,610.0
PersonelNo,611,4,611.0
PersonelNo,613,18,613.0
PersonelNo,614,11,614.0
PersonelNo,615,1,615.0
PersonelNo,617,3,617.0
PersonelNo,618,5,618.0
PersonelNo,619,1,619.0
PersonelNo,620,17,620.0
PersonelNo,621,5,621.0
PersonelNo,622,2,622.0
PersonelNo,625,5,625.0
PersonelNo,633,3,633.0
UretimID,10,11,10.0
UretimID,47,3,47.0
UretimID,102,1,102.0
UretimID,116,1,116.0
UretimID,183,9,183.0
UretimID,286,16,286.0
UretimID,288,17,288.0
UretimID,293,19,293.0
UretimID,308,19,308.0
UretimID,311,11,311.0
UretimID,314,3,314.0
UretimID,342,2,342.0
UretimID,345,1,345.0
UretimID,357,1,357.0
UretimID,392,1,392.0
UretimID,404,6,404.0
UretimID,407,2,407.0
UretimID,416,1,416.0
UretimID,423,4,423.0
UretimID,434,10,434.0
UretimID,454,9,454.0
UretimID,455,18,455.0
UretimID,470,15,470.0
UretimID,475,1,475.0
UretimID,492,16,492.0
UretimID,496,1,496.0
UretimID,497,12,497.0
UretimID,505,16,505.0
UretimID,512,2,512.0
UretimID,514,18,514.0
UretimID,517,4,517.0
UretimID,520,1,520.0
UretimID,525,5,525.0
UretimID,527,1,527.0
UretimID,529,2,529.0
UretimID,538,8,538.0
UretimID,541,3,541.0
UretimID,545,4,545.0
UretimID,546,2,546.0
UretimID,549,1,549.0
UretimID,551,9,551.0
UretimID,552,8,552.0
UretimID,554,3,554.0
UretimID,558,8,558.0
UretimID,561,1,561.0
UretimID,562,1,562.0
UretimID,563,7,563.0
UretimID,564,7,564.0
UretimID,565,4,565.0
UretimID,566,3,566.0
UretimID,568,1,568.0
UretimID,574,2,574.0
UretimID,575,1,575.0
UretimID,576,2,576.0
UretimID,577,6,577.0
UretimID,578,3,578.0
UretimID,581,2,581.0
UretimID,585,1,585.0
UretimID,586,3,586.0
UretimID,589,1,589.0
UretimID,592,2,592.0
UretimID,593,4,593.0
UretimID,596,18,596.0
UretimID,598,11,598.0
UretimID,600,5,600.0
UretimID,606,4,606.0
UretimID,610,14,610.0
UretimID,611,4,611.0
UretimID,613,18,613.0
UretimID,614,11,614.0
UretimID,615,1,615.0
UretimID,617,3,617.0
UretimID,618,5,618.0
UretimID,619,1,619.0
UretimID,620,17,620.0
UretimID,621,5,621.0
UretimID,622,2,622.0
UretimID,625,5,625.0
UretimID,633,3,633.0
